ID,ProbePoint,Condition,Burst1Panning,Burst1FreqContent,Burst2Panning,Burst2FreqContent,azi,ele,channel,up_ch,down_ch,catch_ele_diff,FirstBurstPresented,MovementDir,BlockNum,Burst1_cue_idx,Burst2_cue_idx,Response,ReactionTime
X,L8,1,nearest,low,nearest,low,90,0.46,5,46,79,79.63,1,0,BN,10,11,down,1.1200289726257324
X,C,catch,nearest,low,nearest,low,0,0.03,1,23,76,61.02,1,down,BN,10,17,down,0.6482653617858887
X,R4,3,nearest,low,ambi,low,-31.72,0,15,54,86,93.99,2,0,BN,18,7,up,0.8556053638458252
X,R4,catch,nearest,low,nearest,low,-31.72,0,15,54,86,93.99,2,up,BN,19,9,up,0.6802351474761963
X,L8,catch,nearest,low,nearest,low,90,0.46,5,46,79,79.63,2,up,BN,19,8,up,0.5845990180969238
X,R6,1,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,1,0,BN,10,11,down,1.263659954071045
X,R4,4,nearest,wide,ambi,wide,-31.72,0,15,54,86,93.99,1,0,BN,7,12,down,0.726569653
X,L8,catch,nearest,low,nearest,low,90,0.46,5,46,79,79.63,2,up,BN,15,4,up,0.5221865177154541
X,C,3,nearest,low,ambi,low,0,0.03,1,23,76,61.02,1,0,BN,6,16,down,0.6615452766418457
X,L6,4,nearest,wide,ambi,wide,69.09,0,4,45,88,93.78,2,0,BN,14,3,up,0.8533797264099121
X,C,3,nearest,low,ambi,low,0,0.03,1,23,76,61.02,2,0,BN,14,6,up,0.6491639614105225
X,R8,catch,nearest,low,nearest,low,-90,0.03,13,52,85,78.86,2,up,BN,12,5,up,0.5540080070495605
X,L4,1,nearest,low,nearest,low,31.72,0,3,44,78,93.99,2,0,BN,18,5,down,0.9972360134124756
X,C,1,nearest,low,nearest,low,0,0.03,1,23,76,61.02,2,0,BN,18,3,up,0.9944179058074951
X,R6,2,nearest,wide,nearest,wide,-69.09,0,14,53,91,93.78,1,0,BN,9,16,down,0.9139785766601562
X,L4,3,nearest,low,ambi,low,31.72,0,3,44,78,93.99,2,0,BN,16,9,up,0.7929184436798096
X,R8,3,nearest,low,ambi,low,-90,0.03,13,52,85,78.86,1,0,BN,2,11,down,1.0243866443634033
X,R6,4,nearest,wide,ambi,wide,-69.09,0,14,53,91,93.78,2,0,BN,20,2,down,1.1720099449157715
X,R6,3,nearest,low,ambi,low,-69.09,0,14,53,91,93.78,2,0,BN,17,2,up,0.872126579
X,L4,2,nearest,wide,nearest,wide,31.72,0,3,44,78,93.99,2,0,BN,17,10,down,1.2599561214447021
X,R6,1,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,1,0,BN,1,16,down,1.2814490795135498
X,R4,1,nearest,low,nearest,low,-31.72,0,15,54,86,93.99,2,0,BN,18,9,None,0
X,L6,2,nearest,wide,nearest,wide,69.09,0,4,45,88,93.78,2,0,BN,17,3,up,1.427765130996704
X,R6,catch,nearest,low,nearest,low,-69.09,0,14,53,91,93.78,1,down,BN,2,18,down,0.8387982845306396
X,L4,1,nearest,low,nearest,low,31.72,0,3,44,78,93.99,2,0,BN,13,1,down,1.1100568771362305
X,L6,4,nearest,wide,ambi,wide,69.09,0,4,45,88,93.78,1,0,BN,6,18,down,0.6008317470550537
X,R4,4,nearest,wide,ambi,wide,-31.72,0,15,54,86,93.99,2,0,BN,13,7,up,0.8562016487121582
X,L6,3,nearest,low,ambi,low,69.09,0,4,45,88,93.78,2,0,BN,12,3,up,0.6639001369476318
X,L6,catch,nearest,low,nearest,low,69.09,0,4,45,88,93.78,1,down,BN,1,13,down,0.9170732498168945
X,L6,catch,nearest,low,nearest,low,69.09,0,4,45,88,93.78,2,up,BN,19,3,up,1.0781691074371338
X,L4,catch,nearest,low,nearest,low,31.72,0,3,44,78,93.99,1,down,BN,1,20,down,1.340682029724121
X,L8,1,nearest,low,nearest,low,90,0.46,5,46,79,79.63,1,0,BN,3,20,up,1.3108222484588623
X,L8,3,nearest,low,ambi,low,90,0.46,5,46,79,79.63,2,0,BN,16,4,up,0.6333291530609131
